,Unnamed: 0,Company Name,Location,Datum,Detail,Status Rocket,Mission Cost,Status Mission
43,43,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Mon Sep 21, 2020 05:40 UTC","Long March 4B | Haiyang 2C",StatusActive,64.68,Success
44,44,CASC,"DeBo 3 Barge, Yellow Sea","Tue Sep 15, 2020 01:23 UTC","Long March 11H | Jilin-1 High Resolution 03",StatusActive,5.3,Success
45,45,ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Sat Sep 12, 2020 05:02 UTC","Kuaizhou 1A | Jilin-1 High Resolution 02C",StatusActive,5.8,Failure
46,46,Astra,"LP-3B, Pacific Spaceport Complex, Kodiak, Alaska, USA","Sat Sep 12, 2020 03:19 UTC","Rocket 3 | Rocket 3.1 Orbital Launch Attempt",StatusActive,2.5,Failure
47,47,CASC,"LC-9, Taiyuan Satellite Launch Center, China","Mon Sep 07, 2020 05:57 UTC","Long March 4B | Gaofen-11 02",StatusActive,64.68,Success
48,48,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China","Fri Sep 04, 2020 07:30 UTC","Long March 2F/T | Experimental Spaceplane (CSSHQ)",StatusActive,,Success
49,49,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Thu Sep 03, 2020 12:46 UTC","Falcon 9 Block 5 | Starlink V1 L11 OCISLY",StatusActive,50,Success
50,50,Arianespace,"ELV-1,Guiana Space Centre, French Guiana, France","Thu Sep 03, 2020 01:51 UTC","Vega | SSMS n°1 PoC",StatusActive,37,Success
51,51,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand","Mon Aug 31, 2020 03:05 UTC","Electron/Photon | I Can’t Believe It’s Not Optical",StatusActive,,Success
52,52,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Sun Aug 30, 2020 23:18 UTC","Falcon 9 Block 5 | SAOCOM 1B & Rideshares LZ-1",StatusActive,50,Success
53,53,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Sun Aug 23, 2020 02:27 UTC","Long March 2D | Gaofen-9 05, Tiantuo-5 & MTS",StatusActive,29.75,Success
54,54,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Tue Aug 18, 2020 14:31 UTC","Falcon 9 Block 5 | Starlink V1 L10 & SkySat 19 to 21 OCISLY",StatusActive,50,Success
55,55,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Sat Aug 15, 2020 22:04 UTC","Ariane 5 ECA | BSat 4b & Galaxy 30, MEV-2",StatusActive,200,Success
